Species,TL,SE,analysis,source,,,,,
Glycymeris glycymeris,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Glycymeris spp,2.1,0.35,,,,,,,
Glyptocephalus cynoglossus,3.88,0.09,Non local IA,Pinnegar et al. 2002,,,,,
Gnatophausia zoea,2.1,0.35,labtroph,,,,,,
Gnathophausia zoea,2.1,0.35,labtroph,,,,,,
Gobiidae,3.1,0.35,,,,,,,
Gobioidei,3.1,0.35,,,,,,,
Gobioidei+Callionymoidei ind.,3.1,0.35,,,,,,,
Gobius niger, 3.2   ,0.4,,,,,,,
Gobius spp,3.2,0.45,FB/SLB,www.fishbase.org,,,,,
Gobiusculus flavescens,3.2,0.34,,,,,,,
Goneplax rhomboides,2.9,0.35,local IA,"LeLoc'h et al., 2008",,,,,
Gracilechinus acutus,2,0.35,labtroph,,,,,,
Griphus vitreus,2,0.35,,,,,,,
Gymnammodytes semisquamatus,2.7,0.3,FB/SLB,www.fishbase.org,,,,,
Gymnura altavela,4.5,0.1,FB/SLB,www.fishbase.org,,,,,
Haemulidae(=Pomadasyidae),3.63,0.52,FB/SLB,www.fishbase.org,,,,,
Halargyreus johnsonii,3.4,0.47,FB/SLB,www.fishbase.org,,,,,
Halice spp,2.285,0.35,,,,,,,
Haliotis tuberculata,2,0.01,FB/SLB,www.sealifebase.org,,,,,
Halobatrachus didactylus,4.0   ,0.64,,,,,,,
Harpinia antennaria,2.285,0.35,,,,,,,
Helicolenus dactylopterus,3.99,0.05,Local SC,IEO analysis from Isaskun Preciado,,,,,
Heptranchias perlo,4.2,0.4,,,,,,,
Hexanchus griseus,4.3,0.5,FB/SLB,www.fishbase.org,,,,,
Hidroidea,3,0.35,labtroph,,,,,,
Hidroides norvegica,2.061,0.35,labtroph,,,,,,
Himanthalia elongata,1,0.01,,,,,,,
Hinia reticulata,2.37,0.35,labtroph,,,,,,
Hippocampus hippocampus ,3.2,0.4,FB/SLB,www.fishbase.org,,,,,
Hippoglossoides platessoides,4.03,0.03,Non local IA,Pinnegar et al. 2002,,,,,
Hippoglossus hippoglossus,4,0.5,FB/SLB,www.fishbase.org,,,,,
Hirudinea,2.06,0.35,labtroph,,,,,,
Hirundichthys rondeletii,3,0.1,FB/SLB,www.fisbase.org,,,,,
Histioteuthis reversa,3.5,0.35,labtroph,,,,,,
Holothuria forskali,2,0.35,labtroph,,,,,,
Holothuroidea,2.9,0.35,local IA,"LeLoc'h et al., 2008",,,,,
Homarus gammarus,3.7,0.23,FB/SLB,www.sealifebase.org,,,,,
Homarus spp,3.7,0.23,,,,,,,
Hoplostethus atlanticus,4.5,0.04,Local IA,Chouvelon et al. 2012,,,,,
Hoplostethus mediterraneus,3.5   ,0.53,FB/SLB,www.fishbase.org,3.563885535,stomach contents,,,
Hyalinoecia tubicola,2.061,0.35,labtroph,,,,,,
Hydrolagus spp,3.88,0.61,FB/SLB,www.fishbase.org,,,,,
Hydromedusa,3,0.35,labtroph,,,,,,
Hydrozoa,3,0.35,labtroph,,,,,,
Hymenocephalus italicus,3.4,0.01,FB/SLB,www.fishbase.org,,,,,
Hymenodiscus coronata,2.2,0.35,labtroph,,,,,,
Hyperoplus immaculatus,3.47,0.15,Non local IA,Pinnegar et al. 2002,,,,,
Hyperoplus lanceolatus,4,0.04,Local IA,Chouvelon et al. 2012,3.99,"Lassalle, 2014",,,
Hypperiidae,2.285,0.35,labtroph,,,,,,
Illex coindetii,3.91,0.02,Local IA,Lassalle et al. 2014,,,,,
Illex illecebrosus,3.98,0.65,FB/SLB,www.sealifebase.org,,,,,
Illex spp,3.95,0.65,FB/SLB & Local IA,www.sealifebase.org & Lassalle et al. 2014,,,,,
Inachiidae,3.5,0.35,labtroph,,,,,,
Inachus dorsettensis,3.5,0.35,labtroph,,,,,,
Inachus leptochirus,3.5,0.35,labtroph,,,,,,
Inachus spp,3.5,0.35,labtroph,,,,,,
Invertebrata,2.5,0.35,labtroph,,,,,,
Irregularia,2,0.35,labtroph,,,,,,
Isopoda,2.285,0.35,labtroph,,,,,,
Istiophoridae,4.48,0.4,FB/SLB,www.fishbase.org,,,,,
Istiophorus albicans,4.5,0.4,FB/SLB,www.fishbase.org,,,,,
Istiophorus spp,4.5,0.4,FB/SLB,www.fishbase.org,,,,,
Isurus oxyrinchus,4.5,0.01,FB/SLB,www.fishbase.org,,,,,
Isurus paucus,4.5,0.01,FB/SLB,www.fishbase.org,,,,,
Isurus spp,4.5,0.01,,,,,,,
Jaxea nocturna,2.6,0.35,labtroph,,,,,,
Jujubinus exasperatus,2.37,0.35,labtroph,,,,,,
Katsuwonus pelamis,4.4,0.5,FB/SLB,www.fishbase.org,,,,,
Kyphosidae,3.5,0.35,,,,,,,
L. boscii (?17 cm),3.67,0.02,Local SC,IEO Analysis ,,,,,
L. boscii (?18 - ?32 cm),3.82,0.01,Local SC,IEO Analysis ,,,,,
L. boscii (?33 cm),3.94,0.04,Local SC,IEO Analysis ,,,,,
L. whiffiagonis (?15 cm),3.74,0.05,local SC,IEO Analysis ,,,,,
L. whiffiagonis (?16- ?23 cm),4.05,0.04,local SC,IEO Analysis ,,,,,
L. whiffiagonis (?24- ?36 cm),4.27,0.03,local SC,IEO Analysis ,,,,,
L. whiffiagonis (?37 cm),4.55,0.04,local SC,IEO Analysis ,,,,,
Labridae,3.53,0.62,FB/SLB & Local IA,www.fishbase.org & Chouvelon et al. 2012,,,,,
Labrus bergylta,4.3,0.01,Local IA,Chouvelon et al. 2012,,,,,
Labrus bimaculatus,3.9,0.62,FB/SLB,,,,,,
Labrus merula,3.6,0.5,FB/SLB,,,,,,
Labrus mixtus,3.9,0.62,FB/SLB,www.fishbase.org,,,,,
Labrus spp,3.9,0.6,mean,,,,,,
Labrus viridis,3.9,0.4,FB/SLB,,,,,,
Laetmogone violacea,2,0.35,labtroph,,,,,,
Laetmonice filicornis,2.061,0.35,labtroph,,,,,,
Laevicardium crassum,2.1,0.35,labtroph,,,,,,
Lamna nasus,4.6,0.01,FB/SLB,www.fishbase.org,,,,,
Lamnidae,4.53,0.4,FB/SLB,www.fishbase.org,,,,,
Lampanyctus crocodilus,3.8,0.04,Local IA,Chouvelon et al. 2012,,,,,
Lampris guttatus,4.2,0.62,FB/SLB,www.fishbase.org,,,,,
Lepas spp,2.1,0.35,labtroph,,,,,,
Lepechinella manco,2.285,0.35,labtroph,,,,,,
Lepidion eques,3.2,0.37,FB/SLB,www.fihbase.org,3.588284274,stomach contents,,,
Lepidion lepidion,3.6,0.5,FB/SLB,www.fishbase.org,,,,,
Lepidocybium flavobrunneum,4.3,0.67,FB/SLB,www.fishbase.org,,,,,
Lepidopus caudatus,3.8,0.3,FB/SLB,www.fishbase.org,,,,,
Lepidorhombus boscii,3.75,0.04,Local SC,IEO analysis from Isaskun Preciado,,,,,
Lepidorhombus spp,4.01,0.04,Local SC,IEO analysis from Isaskun Preciado,,,,,
Lepidorhombus whiffiagonis,4.26,0.02,Local SC,IEO analysis from Isaskun Preciado,3.86,"Lassalle, 2014",,,
Lepidotrigla cavillone,3.3,0.2,FB/SLB,www.fishbase.org,3.619023066,stomach contents,,,
Lepidotrigla dieuzeidei,3.7,0.52,FB/SLB,www.fishbase.org,3.559994116,stomach contents,,,
Leptometra celtica,2.4,0.35,labtroph,,,,,,
Leptopentacta tergestina,2.9,0.35,Local IA,Le Loc'h et al. 2008,,,,,
Lesueurigobius friesii,4,0.04,Local IA,Chouvelon et al. 2012,"3.4 (LeLoc'h et al., 2008)",,3.95,"Lassalle, 2014",
Leucoraja circularis,3.9,0.01,Local SC,IEO analysis from Isaskun Preciado,,,,,
Leucoraja fullonica,3.5,0.35,FB/SLB,www.fishbase.org,,,,,
Leucoraja naevus,3.87,0.04,Local SC,IEO analysis from Isaskun Preciado,3.82,"Lassalle, 2014",,,
Lichia amia,4.5,0.8,,,,,,,
Limanda limanda,4.2,0.28,Non local IA,Pinnegar et al. 2002,,,,,
Liocarcinus corrugatus,2.5,0.35,,,,,,,
Liocarcinus depurator,3.2,0.35,Local IA,Le Loc'h et al. 2008,,,,,
Liocarcinus holsatus,2.5,0.35,labtroph,,,,,,
Liocarcinus maculatus,2.5,0.35,,,,,,,
Liocarcinus marmoreus,2.5,0.35,labtroph,,,,,,
Liocarcinus puber,2.5,0.35,,,,,,,
Liocarcinus pusillus,3.7,0.35,,,,,,,
Liocarcinus spp,2.5,0.35,labtroph,,,,,,
Lithodes maja,2.5,0.35,labtroph,,,,,,
Lithodes spp,2.5,0.35,labtroph,,,,,,
Lithognathus mormyrus,3.4,0.5,FB/SLB,www.fishbase.org,3.180946792,stomach contents,,,
Littorina littorea,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Liza aurata,2.8,0.33,FB/SLB,www.fishbase.org,,,,,
Liza ramada,2.2,0.1,FB/SLB,www.fishbase.org,,,,,
Liza saliens,2.9,0.38,FB/SLB,www.fishbase.org,,,,,
Loliginidae,3.92,0.03,Local IA,Chouvelon et al. 2012 & Lassalle et al. 2014,,,,,
Loligo forbesii,4,0.03,Local IA,Chouvelon et al. 2012,3.97,"Lassalle, 2014",,,
Loligo forbesi,4,0.03,Local IA,Chouvelon et al. 2012,3.97,"Lassalle, 2014",,,
Loligo spp,3.95,0.03,Local IA,Chouvelon et al. 2012,,,,,
Loligo sp.,3.95,0.03,local IA,"Chouvelon et al., 2012",,,,,
Loligo vulgaris,3.9,0.02,Local IA,Chouvelon et al. 2012,3.85,"Lassalle, 2014",,,
Lophiidae,4.55,0.17,Local SC,IEO analysis from Isaskun Preciado,,,,,
Lophius budegassa,4.54,0.17,Local SC,IEO analysis from Isaskun Preciado,,,,,
Lophius budegassa (?20 - ?25 cm),4.49,0.03,Local SC,IEO Analysis ,,,,,
Lophius budegassa (?26 - ?44 cm),4.59,0.03,Local SC,IEO Analysis ,,,,,
Lophius budegassa (?45 cm),4.51,0.05,Local SC,IEO Analysis ,,,,,
Lophius piscatorius,4.57,0.16,Local SC,IEO analysis from Isaskun Preciado,,,,,
Lophius piscatorius (>70cm),4.2,0.03,Local IA,Chouvelon et al. 2012,,,,,
Lophius piscatorius (40-70cm),4.1,0.02,Local IA,Chouvelon et al. 2012,,,,,
Lophius spp,4.55,0.17,Local SC,IEO analysis from Isaskun Preciado,,,,,
Lophogaster typicus,2.2,0.35,labtroph,,,,,,
Luidia ciliaris,2.2,0.35,labtroph,,,,,,
Luidia sarsi,2.2,0.35,labtroph,,,,,,
Lunatia fusca,2.37,0.35,labtroph,,,,,,
Lytocarpia myriophyllum,2.34,0.35,labtroph,,,,,,
M. merluccius ( ? 35 cm),4.55,0.03592727,Local SC,IEO Analysis ,,,,,
M. merluccius (? 17 cm),4.11,0.03295771,Local SC,IEO Analysis ,,,,,
M. merluccius (?18 ? 34cm),4.63,0.02908634,Local SC,IEO Analysis ,,,,,
Macropipus tuberculatus,2.6,0.35,local IA,Le Loc'h et al. 2008,,,,,
Macropodia longipes,2.5,0.35,labtroph,,,,,,
Macroramphosus gracilis,3.4,0.5,FB/SLB,www.fishbase.org,,,,,
Macroramphosus scolopax,3.5,0.4,FB/SLB,www.fishbase.org,,,,,
Macrourus berglax,4.5,0.8,FB/SLB,www.fishbase.org,,,,,
Macrourus spp,4.5,0.8,FB/SLB,www.fishbase.org,,,,,
Mactridae,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Maja squinado,2.94,0.45,FB/SLB,www.sealifebase.org,,,,,
Makaira indica,4.5,0.4,FB/SLB,www.fishbase.org,,,,,
Makaira nigricans,4.5,0.3,FB/SLB,www.fishbase.org,,,,,
Malacocephalus laevis,3.9,0.04,Local IA,Chouvelon et al. 2012,,,,,
Mallotus villosus,3.2,0.1,FB/SLB,www.fishbase.org,,,,,
Marthasterias glacialis,2.2,0.35,labtroph,,,,,,
Maurolicus muelleri,3,0.1,FB/SLB,www.fishbase.org,,,,,
Meganyctiphanes norvegica,2.2,0.35,labtroph,,,,,,
Melanocharacidium blennioides,3.3,0.5,FB/SLB,www.fishbase.org,,,,,
Melanogrammus aeglefinus,3.9,0.18,Local IA,Chouvelon et al. 2012,3.93,"Lassalle, 2014",,,
Mercenaria mercenaria,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Meretrix spp,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Merlangius merlangus,4.1,0.03,Local IA,Chouvelon et al. 2012,4.05,"Lassalle, 2014",,,
Merluccius merluccius,4.56,0.02,Local SC,IEO analysis from Isaskun Preciado,,,,,
Merluccius merluccius (clase 0) juveniles,2.7,LeLoch,,,,,,,
Merluccius merluccius (clase 1),4.207410395,stomach contents,,3.3,LeLoch,,,,
Merluccius merluccius (clase 2+),4.601605484,stomach contents,,,,,,,
Merluccius merluccius <20cm,4.21,0.04,Local SC,IEO analysis from Isaskun Preciado,,,,,
Merluccius merluccius >20cm,4.56,0.03,Local SC,IEO analysis from Isaskun Preciado,,,,,
Merluccius senegalensis,4.5,0.8,FB,,,,,,
Merluccius spp,4.3,0.35,mean,,,,,,
Microchirus azevia,3.2   ,0.41,FB/SLB,www.fishbase.org,,,,,
Microchirus spp,3.43,0.41,FB/SLB & Local IA,www.fishbase.org & Chouvelon et al. 2012,,,,,
Microchirus variegatus,3.8,0.04,Local IA,Chouvelon et al. 2012,"3.5 (LeLoc'h et al., 2008)",,3.75,"Lassalle, 2014",
Micromesistius poutassou,3.77,0.05,Local SC,IEO analysis from Isaskun Preciado,,,,,
Micromesistius poutassou (< 30 cm),3.9,0.03,Local IA,Chouvelon et al. 2012,,,,,
Micromesistius poutassou (> 30 cm),3.8,0.04,Local IA,Chouvelon et al. 2012,,,,,
Microstomus kitt,3.67,0.34,Non local IA,Pinnegar et al. 2002,,,,,
Mimachlamys varia,2,0.35,local modelling,Lassalle et al. 2011,,,,,
Molva dypterygia,4.5,0.8,FB/SLB,www.fishbase.org,,,,,
Molva macrophthalma,4.1,0.04,Local IA,Chouvelon et al. 2012,4.50327567,stomach contents,,,
Molva molva,4.6,0.05,Local IA,Chouvelon et al. 2012,4.58,"Lasalle,2014",,,
Molva spp,4.4,0.8,FB/SLB & Local IA,www.fishbase.org & Chouvelon et al. 2012,,,,,
Monadeus couchii,2.5,0.35,,,,,,,
Monoculodes spp,2.285,0.35,,,,,,,
Monodaeus couchii,2.5,0.35,,,,,,,
Monodaeus spp,2.5,0.35,,,,,,,
Mora moro,4,0.04,Local IA,Chouvelon et al. 2012,,,,,
Moridae,3.48,0.55,FB/SLB,www.fishbase.org,,,,,
Morone saxatilis,4.7,0.2,FB/SLB,www.fishbase.org,,,,,
Mugil cephalus,2.5,0.17,FB/SLB,www.fishbase.org,,,,,
Mugil spp,2.5,0.17,FB/SLB,www.fishbase.org,,,,,
Mugilidae,2.54,0.38,FB/SLB,www.fishbase.org,,,,,
Mullidae,3.24,0.4,,,,,,,
Mullus barbatus,3.2,0.4,FB/SLB,www.fishbase.org,,,,,
Mullus spp,3.24,0.4,FB/SLB & Local SC,www.fishbase.org & IEO analysis from Isaskun Preciado,,,,,
Mullus surmuletus,3.27,0.02,Local SC,IEO analysis from Isaskun Preciado,,,,,
Munida intermedia,2.5,0.35,labtroph,,,,,,
Munida iris,2.5,0.35,labtroph,,,,,,
Munida perarmata,2.5,0.35,labtroph,,,,,,
Munida rutllanti,2.5,0.35,labtroph,,,,,,
Munida sarsi,2.5,0.35,local IA,LeLoc'h et al. 2008,,,,,
Munida spp,2.5,0.35,labtroph,,,,,,
Munida tenuimana,2,0.01,FB/SLB,www.sealifebase.org,,,,,
Munnopsidae,2.285,0.35,,,,,,,
Munnopsis beddardi,2.285,0.35,,,,,,,
Munnopsurus atlanticus,2.285,0.35,,,,,,,
Muraena helena,4.2,0.61,FB/SLB,www.fishbase.org,,,,,
Muraenidae,4.2,0.61,,,,,,,
Murex spp,2,0.35,,,,,,,
Mustelus asterias,3.8,0.09,Local IA,Chouvelon et al. 2012,,3.85,"Lasalle,2014",,
Mustelus mustelus,4,0.15,Local IA,Chouvelon et al. 2012,,4.04,"Lassalle, 2014",,
Mustelus spp,3.9,0.15,Local IA,Chouvelon et al. 2012,,,,,
Mycteroperca rubra,4.1,0.58,,,,,,,
Myctophidae,3.4,0.35,,,,,,,
Myctophoidei,3.4,0.35,,,,,,,
Myctophum punctatum,3.4,0.39,FB/SLB,www.fishbase.org,,,,,
Myliobatidae,3.65,0.54,FB/SLB,www.fishbase.org,,,,,
Myliobatis aquila,3.6,0.54,FB/SLB,www.fishbase.org,,,,,
Mysidacea,2.2,0.35,labtroph,,,,,,
Mysideis parva,2.2,0.35,labtroph,,,,,,
Mytilidae,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Mytilus edulis,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Mytilus galloprovincialis,2,0.35,,,,,,,
Mytilus spp,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Nassarius spp,2.37,0.35,,,,,,,
Natantia,2.6,0.35,,,,,,,
Natatolana borealis,3.3,0.35,Local IA,"LeLoc'h et al., 2008",,,,,
Natica spp,2.37,0.35,,,,,,,
Necora puber,3.7,0.35,Non local IA,Bodin et al. 2008,,,,,
Nematoscelis megalops,2.6,0.35,,,,,,,
Nemertini,2.061,0.35,,,,,,,
Nemichthyidae,3.5,0.35,,,,,,,
Neorossia caroli,3.5,0.35,,,,,,,
Neoscopelus spp,3.7,0.35,,,,,,,
Nephropidae,3.67,0.31,FB/SLB & Local IA,www.sealifebase.org & Chouvelon et al. 2012,,,,,
Nephrops norvegicus,2.8,0.04,Local IA,Chouvelon et al. 2012,2.7,LeLoch,,,
Nephrops norvegicus (14-17 mm),2.9,NA,Local IA,Le Loch and Hily 2005,,,,,
Nephrops norvegicus (22-34 mm),3,NA,Local IA,Le Loch and Hily 2005,,,,,
Nephrops norvegicus (39-42 mm),3.1,NA,Local IA,Le Loch and Hily 2005,,,,,
Neptunea contraria,2.37,0.35,,,,,,,
Nezumia aequalis,3.3,0.1,FB/SLB,www.fishbase.org,,,,,
Nicippe tumida,2.285,0.35,,,,,,,
Nictyphanes couchii,2.2,0.35,labtroph,,,,,,
Notacanthus bonaparte,3.9,0.1,FB/SLB,www.fishbase.org,,,,,
Notacanthus bonapartei,3.9,0.1,FB/SLB,www.fishbase.org,,,,,
Notoscopelus kroeyeri,3.2,0.1,FB/SLB,www.fishbase.org,,,,,
Notoscopelus kroyeri,3.2,0.1,FB/SLB,www.fishbase.org,,,,,
Nudibranchia,2.6,0.35,labtroph,,,,,,
Nymphaster arenatus,2.2,0.35,labtroph,,,,,,
Oblada melanura,3.4,0.35,FB/SLB,www.fishbase.org,,,,,
Ocinebrina spp,2,0.35,labtroph,,,,,,
Octopoda,3.46,0.58,,,,,,,
Octopodidae,3.46,0.58,FB/SLB & Local IA,www.sealifebase.org & Chouvelon et al. 2012,,,,,
Octopus defilippi,3.5,0.6,FB/SLB,www.sealifebase.org,,,,,
Octopus macropus/salutii,3.53,0.6,FB/SLB,www.sealifebase.org,,,,,
Octopus salutii,4.17,0.45,FB/SLB,www.sealifebase.org,,,,,
Octopus spp,3.3,0.13,Local IA,Chouvelon et al. 2012,,,,,
Octopus vulgaris,3.1,0.13,Local IA,Chouvelon et al. 2012,3.14,"Lasalle,2014",,,
Oedalechilus labeo,2.5,0.2,FB/SLB,www.fishbase.org,,,,,
Oedicerotidae,2.285,0.35,,,,,,,
Ommastrephes spp,4.01,0.68,,,,,,,
Ommastrephidae,4.02,0.65,FB/SLB & Local IA,www.sealifebase.org & Chouvelon et al. 2012 & Lassalle et al. 2014,,,,,
Oncorhynchus mykiss,4.1,0.3,,,,,,,
Ophidion barbatum,3.6,0.6,FB/SLB,www.fishbase.org,,,,,
Ophiocomina nigra,2.2,0.35,labtroph,,,,,,
Ophiotrix fragilis,2.2,0.35,labtroph,,,,,,
Ophiothrix fragilis,2.2,0.35,labtroph,,,,,,
Ophiura ophiura,2.2,0.35,labtroph,,,,,,
Ophiuroidea,2.2,0.35,labtroph,,,,,,
Opistobranchia,2.6,0.35,,,,,,,
Opistoteuthis agassizii,3.5,0.35,labtroph,,,,,,
Oplophoridae,2.6,0.35,,,,,,,
Oplophorus spinosus,2.6,0.35,,,,,,,
Orcynopsis unicolor,4.5,0.8,,,,,,,
Osmerus eperlanus,3.5,0.42,FB/SLB,www.fishbase.org,,,,,
Osteichthyes1,3.5,0.35,,,,,,,
Osteichthyes2,3.5,0.35,,,,,,,
Osteichthyes3,3.5,0.35,,,,,,,
Osteichthyes4,3.5,0.35,,,,,,,
Ostrea edulis,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Ostrea spp,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Ostreidae,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Oxynotus centrina,3.1,0.26,,,,,,,
Pagellus acarne,3.55,0.043,local IEO stomach contents,,,,,,
Pagellus bellottii,3.6,0.59,FB/SLB,www.fishbase.org,,,,,
Pagellus bogaraveo,3.7,0.56,FB/SLB,www.fishbase.org,,,,,
Pagellus erythrinus,3.49,0.05,Local SC,IEO analysis from Isaskun Preciado,,,,,
Pagellus spp,3.56,0.56,FB/SLB & Local SC,www.fishbase.org & IEO analysis from Isaskun Preciado,,,,,
Pagrus auriga,3.4   ,0.5,FB/SLB,www.fishbase.org,,,,,
Pagrus caeruleostictus,3.7,0.54,FB/SLB,www.fishbase.org,,,,,
Pagrus pagrus,3.7,0.6,FB/SLB,www.fishbase.org,,,,,
Pagrus spp,3.63,0.6,FB/SLB,www.fishbase.org,,,,,
Paguridae,2.7,0.35,,,,,,,
Pagurus alatus,2.5,0.35,labtroph,,,,,,
Pagurus bernhardus,2.5,0.35,labtroph,,,,,,
Pagurus excavatus,2.5,0.35,labtroph,,,,,,
Pagurus prideaux,2.7,0.35,local IA,"LeLoc'h et al., 2008",,,,,
Palaemon elegans,3.1,0.35,,,,,,,
Palaemon longirostris,2.6,0.35,SeaAroundUs,www.seaaroundus.org/data/#/topic/biodiversity,,,,,
Palaemon serratus,2.69,0.32,FB/SLB,www.sealifebase.org,,,,,
Palaemon spp,3.1,0.35,,,,,,,
Palaemonidae,3.1,0.35,,,,,,,
Palinuridae,3.14,0.35,SeaAroundUs,www.seaaroundus.org/data/#/topic/biodiversity,,,,,
Palinurus elephas,3.34,0.66,FB/SLB,www.sealifebase.org,,,,,
Palinurus gilchristi,2.6,0.35,SeaAroundUs,www.seaaroundus.org/data/#/topic/biodiversity,,,,,
Palinurus mauritanicus,3.54,0.38,FB/SLB,www.sealifebase.org,,,,,
Palinurus spp,3.44,0.66,FB/SLB,www.sealifebase.org,,,,,
Pandalidae,2.7,0.35,,,,,,,
Pandalina brevirostris,2.7,0.35,,,,,,,
Pandalina profunda,2.7,0.35,,,,,,,
Pandalina spp,2.7,0.35,,,,,,,
Pandalus borealis,3.07,0.35,,,,,,,
Paphia aurea,2.1,0.35,,,,,,,
Paphia rhomboides,2.1,0.35,,,,,,,
Paracentrotus lividus,2.34,0.35,Local modelling,Lassalle et al. 2011,,,,,
Paralepididae,3.2,0.35,,,,,,,
Paralepis coregonoides,4.1,0.7,FB/SLB,www.sealifebase.org,,,,,
Paralepis spp,4.1,0.7,,,,,,,
Paraliparis membranaceus,3.3,0.5,FB/SLB,www.fishbase.org,,,,,
Paraliparis spp,3.7,0.35,FB/SLB,www.sealifebae.org,,,,,
Paralithodes spp,3.7,0.43,FB/SLB,www.sealifebase.org,,,,,
Paramblyops rostrata,2.2,0.35,labtroph,,,,,,
Parapagurus pilosimanus,2.5,0.35,,,,,,,
Parapasiphaea sulcatifrons,2.6,0.35,,,,,,,
Parapenaeus longirostris,3.3,0.44,FB/SLB,www.sealifebase.org,,,,,
Parapseudomma calloplura,2.2,0.35,,,,,,,
Parastichopus regalis,2.9,0.35,local IA,"LeLoc'h et al., 2008",,,,,
Parastichopus tremulus,2.9,0.35,local IA,"LeLoc'h et al., 2009",,,,,
Pardaliscidae,2.285,0.35,,,,,,,
Parerythrops obesa,2.2,0.35,,,,,,,
Paromola cuvieri,3.42,0.43,FB/SLB,www.sealifebase.org,,,,,
Parvipalpus major,2.285,0.35,,,,,,,
Pasiphaea multidentata,2.6,0.35,,,,,,,
Pasiphaea sivado,2.6,0.35,,,,,,,
Pasiphaea spp,2.6,0.35,,,,,,,
Patella spp,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Patella vulgata,2,0.35,,,,,,,
Patellidae,2,0.35,,,,,,,
Patina pellicida,2.37,0.35,,,,,,,
Pecten maximus,2,0.07,Local IA,Chouvelon et al. 2012,"1.1 (LeLoc'h et al., 2008)",,,,
Pectinaria koreni,2.061,0.35,,,,,,,
Pectinidae,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Pegusa lascaris,3.3,0.1,FB/SLB,www.fishbase.org,,,,,
Pelagia noctiluca,3,0.35,labtroph,,,,,,
Peltaster placenta,2.2,0.35,labtroph,,,,,,
Penaeidae,3.3,0.35,,,,,,,
Penaeopsis serrata,2.1,0.35,labtroph,,,,,,
Penaeus brasiliensis,2.7,0.35,SeaAroundUs,www.seaaroundus.org/data/#/topic/biodiversity,,,,,
Penaeus spp,3.3,0.35,,,,,,,
Pennatula rubra,2.34,0.35,labtroph,,,,,,
Pennatula spp,2.34,0.35,labtroph,,,,,,
Pennatula sp.,2.34,0.35,labtroph,,,,,,
Perciforme,3.5,0.35,,,,,,,
Perciformes1,3.5,0.35,,,,,,,
Perciformes2,3.5,0.35,,,,,,,
Percoidei,4.4,0.01,,,,,,,
Perinereis diversicolor,2.061,0.35,labtroph,,,,,,
Peristedion cataphractum,3.6,0.3,FB/SLB,www.fishbase.org,,,,,
Petromyzon marinus,4.4,0.85,FB/SLB,www.fishbase.org,,,,,
Petromyzontidae,4.33,0.85,FB/SLB,www.fishbase.org,,,,,
Phakellia ventilabrum,2,0.35,labtroph,,,,,,
Pharidae,2.1,0.35,labtroph,,,,,,
Philocheras bispinosus,3.2,0.35,,,,,,,
Philocheras echinolatus,2.6,0.35,,,,,,,
Philocheras echinulatus,2.6,0.35,,,,,,,
Philocheras sculptus,3.2,0.35,,,,,,,
Philocheras spp,3.2,0.35,,,,,,,
Phormosoma placenta,2,0.35,labtroph,,,,,,
Phoxocephalidae,2.285,0.35,,,,,,,
Phronima sedentaria,2.285,0.35,,,,,,,
Phrynorhombus norvegicus,4,0.6,FB/SLB,www.fishbase.org,,,,,
Phtisica marina,2.285,0.35,,,,,,,
Phycis blennoides,3.72,0.04,Local SC,IEO analysis from Isaskun Preciado,,4.04,"Lassalle, 2014",,
Phycis phycis,4.3,0.3,FB/SLB,www.fishbase.org,,,,,
Phycis spp,4.01,0.3,FB/SLB & Local SC,www.fishbase.org & IEO analysis from Isaskun Preciado,,,,,
Phrynorhombus regius,3.8,0.7,FB/SLB,www.fishbase.org,,,,,
Pirimela denticulata,2.5,0.35,,,,,,,
Pisces,3.5,0.35,,,,,,,
Platichthys flesus,3.85,0.2,Non local IA,Pinnegar et al. 2002 ,,,,,
Plectorhinchus mediterraneus,3.5   ,0.52,,,,,,,
Plesionika edwardsi,2.7,0.35,,,,,,,
Plesionika heterocarpus,2.7,0.35,,,,,,,
Plesionika martia,2.6,0.35,,,,,,,
Plesionika spp,2.7,0.35,,,,,,,
Plesiopenaeus edwardsianus,2.6,0.36,,,,,,,
Pleuronectes platessa,3.67,0.17,Non local IA,Pinnegar et al. 2002 ,,,,,
Pleuronectidae,3.9,0.5,FB/SLB & Non local IA,www.fishbase.org & Pinnegar et al. 2002,,,,,
Pleuronectiformes,3.7,0.5,,,,,,,
Pleuronectoidei,3.5,0.5,,,,,,,
Plumularia spp,2.34,0.35,labtroph,,,,,,
Pollachius pollachius,4.2,0.7,FB/SLB,www.fishbase.org,,,,,
