"rectangle","survey"
"35D9","CSIreOT4"
"36D9","CSIreOT4"
"37D9","CSIreOT4"
"29E0","CSIreOT4"
"30E0","CSIreOT4"
"31E0","CSIreOT4"
"34E0","CSIreOT4"
"35E0","CSIreOT4"
"37E0","CSIreOT4"
"38E0","CSIreOT4"
"39E0","CSIreOT4"
"40E0","CSIreOT4"
"41E0","CSIreOT4"
"30E1","CSIreOT4"
"31E1","CSIreOT4"
"32E1","CSIreOT4"
"37E1","CSIreOT4"
"38E1","CSIreOT4"
"39E1","CSIreOT4"
"40E1","CSIreOT4"
"41E1","CSIreOT4"
"30E2","CSIreOT4"
"31E2","CSIreOT4"
"32E2","CSIreOT4"
"33E2","CSIreOT4"
"39E2","CSIreOT4"
"40E2","CSIreOT4"
"41E2","CSIreOT4"
"31E3","CSIreOT4"
"32E3","CSIreOT4"
"33E3","CSIreOT4"
"39E3","CSIreOT4"
"40E3","CSIreOT4"
"41E3","CSIreOT4"
"31E4","CSIreOT4"
"32E4","CSIreOT4"
"07D9","BBICPorOT4"
"03E0","BBICPorOT4"
"04E0","BBICPorOT4"
"05E0","BBICPorOT4"
"06E0","BBICPorOT4"
"07E0","BBICPorOT4"
"08E0","BBICPorOT4"
"09E0","BBICPorOT4"
"10E0","BBICPorOT4"
"11E0","BBICPorOT4"
"12E0","BBICPorOT4"
"02E1","BBICPorOT4"
"03E1","BBICPorOT4"
"04E1","BBICPorOT4"
"05E1","BBICPorOT4"
"10E1","BBICPorOT4"
"11E1","BBICPorOT4"
"12E1","BBICPorOT4"
"02E2","BBICPorOT4"
